title,play,arcurl
Java零基础教程视频（适合Java 0基础，Java初学入门）,21530509,http://www.bilibili.com/video/av11361088
黑马程序员Java零基础视频教程_上部(Java入门，含斯坦福大学练习题+力扣算法题和大厂java面试题）,17615397,http://www.bilibili.com/video/av298622138
尚硅谷Java入门视频教程，宋红康java基础视频,16864676,http://www.bilibili.com/video/av48144058
【零基础 快速学Java】韩顺平 零基础30天学会Java,15750822,http://www.bilibili.com/video/av203821664
黑马程序员全套Java教程_Java基础入门视频教程，零基础小白自学Java入门教程,10823432,http://www.bilibili.com/video/av80585971
Java入门基础视频教程，java零基础自学就选黑马程序员Java入门教程（含Java项目和Java真题）,9107274,http://www.bilibili.com/video/av250694651
黑马程序员JavaWeb基础教程，Java web从入门到企业实战完整版,5376524,http://www.bilibili.com/video/av379163696
【狂神说Java】Java零基础学习视频通俗易懂,4394059,http://www.bilibili.com/video/av68373450
Java基础+进阶,4161037,http://www.bilibili.com/video/av79312032
尚硅谷Java零基础全套视频教程(宋红康主讲，java入门自学必备),3652103,http://www.bilibili.com/video/av267354102
黑马程序员Java零基础视频教程_下部(Java入门，含斯坦福大学练习题+力扣算法题和大厂java面试题）,3560463,http://www.bilibili.com/video/av943499039
Java学习路线一条龙版，不迷茫！全面贴心的【自学编程】指南，程序员入门,1500354,http://www.bilibili.com/video/av504892971
黑马程序员Java视频教程，一套超哇塞的Java教程，java零基础自学入门必看黑马java教程,1407380,http://www.bilibili.com/video/av564811070
【拯救者】java期末考试急救速成(含真题讲解)(期末+考研+自考+专升本均可),1239485,http://www.bilibili.com/video/av713075436
【尚硅谷】7天搞定Java基础，Java零基础极速入门,696036,http://www.bilibili.com/video/av220178909
2024黑马程序员Java+AI智能辅助编程全套视频教程，java零基础入门到大牛一套通关,528018,http://www.bilibili.com/video/av1806446513
黑马程序员Java入门视频速成篇（适合有java基础、想二刷Java基础的同学，或学习能力强，想在更短时间掌握java开发全流程的同学）,426766,http://www.bilibili.com/video/av770139588
动力节点Java零基础视频教程(上部)，java入门必刷java视频,426683,http://www.bilibili.com/video/av454189844
尚硅谷2024最新Java入门视频教程（上部）java零基础入门教程,310021,http://www.bilibili.com/video/av923304763
【挑战不可能】7天零基础快速学会Java，手把手教你敲代码，带你从零基础/转行小白到就业-马士兵教育,264182,http://www.bilibili.com/video/av742456434
Java极速版（给我7小时，带你从头过一遍Java）,234607,http://www.bilibili.com/video/av723929327
尚硅谷2024最新Java入门视频教程(下部) java零基础入门教程,182862,http://www.bilibili.com/video/av1151411044
30分钟【后端】程序员速成，我收藏了,150471,http://www.bilibili.com/video/av1756401398
【2023清华版Java教程】可能是B站最好的Java教程，全300集包含入门到实战所有干货，存下吧，很难找全的！,129878,http://www.bilibili.com/video/av273157485
Java基础面试题100问大合集，小白面试学习(全套通俗易懂),124868,http://www.bilibili.com/video/av761144002
【2024特辑】108个Java实战项目，练完即可就业，从入门到进阶，基础到框架，你想要的全都有，建议码住！新学期卷死同学丨毕设？面试实战？统统不是问题！,79346,http://www.bilibili.com/video/av1454859333
为什么面试时会问很多基础的问题？Java基础知识点扫盲100讲！（含配套文档）,62846,http://www.bilibili.com/video/av972580021
黑马Java实战项目，用Java快速实现「斗地主」游戏开发,47959,http://www.bilibili.com/video/av391088895
【马士兵教育赵珊珊老师零基础教程】零基础轻松快速入门学Java，从软件安装到项目实战，14天轻松学会Java,40818,http://www.bilibili.com/video/av262804267
零基础Java学习路线,38100,http://www.bilibili.com/video/av1055797575
Java语言基础（适合有编程经验的人快速上手、巩固加强，满满干货）,28107,http://www.bilibili.com/video/av96533454
2024最新版教程，Java零基础入门到精通（干货满满）,18171,http://www.bilibili.com/video/av113321470730157
Java基础+进阶课程（2024最新版）,16573,http://www.bilibili.com/video/av113224934558048
人工智能0基础JAVA程序员速成课（基础篇）,15525,https://www.bilibili.com/cheese/play/ss17600?query_from=0&search_id=15985987625545333359&search_query=Java%E5%9F%BA%E7%A1%80
2023极速版Java从入门到精通视频教程（80集全）,13855,http://www.bilibili.com/video/av784837733
【Java入门】三小时讲完Java基础 帮助小白快速入门Java开发！手把手教学 喂饭级教程！学不会退出IT界,11120,http://www.bilibili.com/video/av1655001642
Java零基础学习路线 | 转码小白心得,7564,http://www.bilibili.com/video/av113378915914787
Java代码审计0基础入门到整套代码审计,6574,https://www.bilibili.com/cheese/play/ss1626?query_from=0&search_id=15985987625545333359&search_query=Java%E5%9F%BA%E7%A1%80
2024最新版教程，Java开发零基础入门到精通（干货满满）,3394,http://www.bilibili.com/video/av113407017688752
2024最新版教程，Java开发零基础入门到精通（干货满满）,618,http://www.bilibili.com/video/av113435203342582
Java代码审计零基础入门,548,https://www.bilibili.com/cheese/play/ss26767?query_from=0&search_id=15985987625545333359&search_query=Java%E5%9F%BA%E7%A1%80
清华大佬终于把Java教程做成了动画片，2024最新版，适合所有零基础小白学习，学完即可就业！拿走不谢，学不会我退出IT圈！,417,http://www.bilibili.com/video/av113439062102221
